Company,Car_type,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,GHG_per_10000km,Energy_price,Score_perf,Score_balanced,Score_env,Score_daily
Volkswagen,ID.4 Pure Performance 52kWh,170,9.0,16.2,,1,660.9599999999999,0.3,6.183515963585409,0.6626643927448705,0.02154797845169475,1.8361413863831508
Volkswagen,ID.3 Pro,204,7.3,15.3,,1,624.24,0.3,8.507433459790885,0.7884625465168017,0.024255108419839362,1.920430379766579
Volkswagen,ID.3 Pro Performance ,204,7.3,15.5,,1,632.4,0.3,8.496391861135518,0.7853965480264298,0.024035603609880284,1.9179378981504516
Volkswagen,ID.3 Pro S,204,7.9,15.8,,1,644.64,0.3,7.96083477656381,0.7566058223594507,0.023343523775548814,1.8992038361605452
Volkswagen,ID.3 Pure Performance ,150,8.9,14.9,,1,607.9200000000001,0.3,5.691991374664868,0.6492174658406106,0.022332411568822274,1.8305790100797352
Volkswagen,ID.3 GTX,286,5.9,14.5,,1,591.5999999999999,0.3,13.289121593924248,0.9987591764689782,0.028117128331695343,2.040100591844022
Volkswagen,ID.3 GTX Performance,326,5.7,14.7,,1,599.76,0.3,15.148314749845836,1.0626921487517829,0.028785393780222126,2.071283382264025
Volkswagen,ID.3 Pure,204,8.2,15.2,,1,620.1599999999999,0.3,7.756942130333907,0.7541175089892254,0.02380666231832458,1.89947793334486
Volkswagen,Arteon 1.4 eHybrid,218,7.8,,1.1,2,254.10000000000002,2.6,7.500525837411912,0.5401959856023325,0.03666669599801387,0.37338515231652925
Volkswagen,Arteon 2.0 TSI ,190,7.8,,1.1,2,254.10000000000002,2.6,6.7193830160796715,0.511293410242452,0.03567230719499295,0.36828731019279876
Volkswagen,Arteon 2.0 TDI ,200,7.9,,5.3,3,1224.3,2.6,5.921560949542816,0.3239685130028807,0.011958088174787948,0.3159168766980476
Volkswagen,Arteon Shooting Brake 1.4 TSI eHybrid,218,7.8,,1.2,2,277.2,2.6,7.435545839210001,0.5262774772402177,0.03450005482536544,0.3701503702423007
Volkswagen,Arteon Shooting Brake 2.0 TSI ,190,7.7,,6.4,3,1478.4,2.6,5.692902821776266,0.3030229764577582,0.01042559554339928,0.30922059664893997
Volkswagen,Arteon Shooting Brake 2.0 TDI ,200,7.9,,5.2,3,1201.2,2.6,5.932851203827097,0.32582511731474423,0.01211860191716198,0.3165192148148058
Hyundai,Inster Cross 49 kWh,115,10.6,15.1,,1,616.0799999999999,0.3,3.996112844315096,0.5421622568979649,0.020259106723503208,1.7493571431264394
Hyundai,Ioniq 5 Long Range 84 kWh 2WD,229,7.5,16.0,,1,652.8,0.3,9.091367950556917,0.8060078423239395,0.023927460959307277,1.9288675352445173
Hyundai,Ioniq 5 N,609,3.5,21.2,,1,864.9599999999999,0.3,35.56539780777246,1.485882663774482,0.02782918625040139,2.2318156501147817
Hyundai,Ioniq 5 Standard Range 63 kWh 2WD,170,8.5,15.6,,1,636.48,0.3,6.497307106225037,0.6857095427554866,0.022379199129822898,1.8536490786274185
Hyundai,Bayon 2024 1.0 T-GDI,100,12.4,,5.4,3,1247.4,2.6,2.3668173439013636,0.2038626191809275,0.009388891285529733,0.2812409648117123
Hyundai,Kona 2 1.0 T-GDI,100,13.3,,5.7,3,1316.7000000000003,2.6,2.2257309701362846,0.1950389222970546,0.00891438839459226,0.2777713656239882
Hyundai,Kona 2 1.6 T-GDI ,170,8.5,,6.3,3,1455.3,2.6,4.819826540411839,0.27992019696865655,0.010107456799767132,0.3032697325431458
Hyundai,Tucson 2024 1.6 T-GDI ,160,9.9,,5.8,3,1339.8,2.6,4.098137241645166,0.26350564220344613,0.010262936490520878,0.299340722865394
Hyundai,Ioniq 5 Long Range,325,5.3,16.8,,1,685.44,0.3,15.80436034350783,1.0498222831071364,0.026584638641569368,2.0581015554296362
Hyundai,Ioniq 5 N,609,3.5,21.2,,1,864.9599999999999,0.3,35.56539780777246,1.485882663774482,0.02782918625040139,2.2318156501147817
Hyundai,Ioniq 5 Standard Range  ,170,8.5,15.6,,1,636.48,0.3,6.497307106225037,0.6857095427554866,0.022379199129822898,1.8536490786274185
Hyundai,Inster Cross   ,115,10.6,15.1,,1,616.0799999999999,0.3,3.996112844315096,0.5421622568979649,0.020259106723503208,1.7493571431264394
Hyundai,Bayon   ,100,11.3,,5.4,3,1247.4,2.6,2.5494079539803245,0.21158013811853596,0.009564955606802358,0.2838656896636482
Hyundai,i20 1.0 T_GDI,100,10.4,,5.1,3,1178.1,2.6,2.7400455225865814,0.22250512217100346,0.010122050230339184,0.28787223001622825
Hyundai,i20 1.0 T_GDI Auto,100,11.4,,5.2,3,1201.2,2.6,2.541073644375994,0.2132364570301261,0.00980372156696784,0.28468809356089153
Hyundai,i20 N,204,6.2,,6.7,3,1547.7,2.6,7.133863073481249,0.33534925973910423,0.010694724783336844,0.3167936670752319
Hyundai,i20 MPI,84,13.1,,5.3,3,1224.3,2.6,1.973877845330162,0.18704445457536514,0.00908620997183152,0.27538059611561977
Hyundai,i20 1.0 T_GDI 48V-Hybrid,99,11.4,,5.4,2,1247.4,2.6,2.5112292765683497,0.20998990206151186,0.009528942713689547,0.28333079615366835
Hyundai,i10 1.0 T_GDI,100,10.5,,5.2,3,1201.2,2.6,2.713874082910595,0.22036756807826693,0.00996630282259374,0.2870389676226842
Hyundai,i10 1.0i,62,15.9,,4.9,3,1131.9,2.6,1.3363416715398466,0.1569507530199683,0.008690323355867117,0.26408271249403736
Hyundai,i10 1.0i Auto,66,17.8,,5.3,3,1224.3,2.6,1.2735412808335675,0.1502419508161668,0.0081434035541501,0.260702340414927
Hyundai,i10 1.2i,78,13.2,,5.2,3,1201.2,2.6,1.8524976684005947,0.18206718066135832,0.009058912671074571,0.27366033635771947
Hyundai,i10 1.2i Auto,78,16.6,,5.4,3,1247.4,2.6,1.5363540264684474,0.1642482986108016,0.00842744545532603,0.2664522544272411
Hyundai,i30 1.0 T_GDI,99,13.1,,5.6,3,1293.6,2.6,2.2387921923729865,0.19647783008828737,0.00903473544675558,0.27840543599859136
Toyota,Toyota Hilux Double-Cab 2.4 D-4D 4WD Specs,150,11.0,,8.6,3,1986.6,2.6,3.4391449558983416,0.2187531400958724,0.007529481632163711,0.2829307402839036
Toyota,Toyota Hilux Double-Cab 2.8 D-4D 4WD Specs,204,11.0,,9.5,3,2194.5,2.6,4.354708534466799,0.2401056131057759,0.007468188170723441,0.2888760328909902
Toyota,Toyota RAV4 2.5 Plug-in Hybrid AWD Specs,306,6.0,16.6,1.0,2,231.0,2.6,12.251735379922605,0.7070538185422364,0.04420672220735597,0.4003290825239179
Toyota,Toyota RAV4 2.0 VVT-iE 2WD Specs,175,9.8,,7.1,3,1640.1,2.6,4.349759153855164,0.25809030224953494,0.009087738668790053,0.29628897125212766
Toyota,Toyota RAV4 2.5 Hybrid 2WD Specs,197,8.0,,4.7,3,1085.7,2.6,5.861822624022893,0.3321586295067998,0.012935434659347088,0.31885113095687906
Toyota,RAV4 150 AWD Advance Specs,151,9.6,,7.2,3,1663.2,2.6,3.924395680056939,0.24429070250578003,0.008773697862184706,0.29214431894708426
Toyota,RAV4 120D 4x2 Active Specs,124,10.5,,4.9,3,1131.9,2.6,3.2427074406383567,0.24448855406010173,0.010846347151329786,0.29502835260310695
Toyota,RAV4 150D Autodrive AWD Advance Specs,150,10.0,,7.2,3,1663.2,2.6,3.7781676473515766,0.23969620402371875,0.008690800558298961,0.2907608969377134
Toyota,Prius 2.0 Plug-In Hybrid Specs,223,6.7,13.6,0.5,2,115.5,2.6,9.33315578743773,0.7338806289355119,0.0659388378095096,0.4111365897611147
Toyota,Prius 1.8 Hybrid Specs,140,10.4,,3.9,2,900.9000000000001,2.6,3.6839248615634803,0.27589440804324983,0.013063152403085,0.3058180625326544
Toyota,Prius 2.0 Hybrid Specs,197,7.2,,4.5,2,1039.5,2.6,6.405118952148345,0.3510056760335523,0.013619220947284315,0.323632587292688
