Company,Car model,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,Score overall balanced,Score performance oriented,Score environment oriented,Score expenditure oriented
Hyundai,i30 1.0 T_GDI,99,13.1,,5.6,gasoline,2.124755396,1.197585071,1.879970096,0.789040242
Toyota,Toyota Hilux Double-Cab 2.4 D-4D 4WD Specs,150,11,,8.6,gasoline,3.148410312,2.686860586,0.073556589,0.990736447
Toyota,Toyota Hilux Double-Cab 2.8 D-4D 4WD Specs,204,11,,9.5,gasoline,4.129656543,3.822798672,0,1.255722595
Toyota,Toyota RAV4 2.5 Plug-in Hybrid AWD Specs,306,6,16.6,1,hybrid,25.58811553,13.62062568,44.08889946,6.223268573
Toyota,Toyota RAV4 2.0 VVT-iE 2WD Specs,175,9.8,,7.1,gasoline,4.956137317,3.816657985,1.943577798,1.586122816
Toyota,Toyota RAV4 2.5 Hybrid 2WD Specs,197,8,,4.7,gasoline,8.35992417,5.692672414,6.561091429,2.591735188
Toyota,RAV4 150 AWD Advance Specs,151,9.6,,7.2,gasoline,4.321981019,3.288910288,1.566706104,1.401392555
Toyota,RAV4 120D 4x2 Active Specs,124,10.5,,4.9,gasoline,4.331073226,2.443140914,4.054035241,1.529936097
Toyota,RAV4 150D Autodrive AWD Advance Specs,150,10,,7.2,gasoline,4.110842276,3.10748543,1.467223341,1.339732399
Toyota,Prius 2.0 Plug-In Hybrid Specs,223,6.7,13.6,0.5,hybrid,26.82093323,9.999549229,70.16901085,6.704967273
Toyota,Prius 1.8 Hybrid Specs,140,10.4,,3.9,hybrid,5.77431944,2.990558575,6.714361964,2.010841558
Toyota,Prius 2.0 Hybrid Specs,197,7.2,,4.5,hybrid,9.226034309,6.366739192,7.381684457,2.804848282
Toyota,Prius 2.0 Hybrid E-four Specs,199,7,,3.7,hybrid,10.46551409,6.775785817,9.92587474,3.146387258
Toyota,Toyota bZ4X 4x4 X-Mode Specs,218,6.9,18.1,,electricity,29.28119515,9.869935159,17.55800956,73.58818944
Toyota,Toyota Aygo X 1.0 VVT-i Specs,72,15.6,,4.7,gasoline,0.90850174,0.325223068,2.143560221,0.400760664
Toyota,Toyota Land Cruiser J25 2.8 D-4D Auto Specs,204,12.7,,7.4,gasoline,4.32401106,3.357857312,1.410166154,1.3930647
Toyota,Toyota Yaris 1.0 VVT-i Specs,72,14.6,,5.6,gasoline,0.707518387,0.394034993,0.992742852,0.270503003
Toyota,Toyota Yaris 1.5 Hybrid Specs,116,9.7,,3.8,hybrid,5.282589197,2.588404828,6.62850726,1.885479737
Toyota,Toyota Yaris 1.5 VVT-i Specs,121,9,,5.2,gasoline,4.720073158,2.856430743,3.851728956,1.622619292
Toyota,Toyota Yaris GR Specs,261,5.5,,8.2,gasoline,9.888403711,10.04640606,3.026209222,2.73375648
Toyota,Toyota Yaris 1.0 VVT-i 3-doors Specs,69,14.6,,5.6,gasoline,0.579032357,0.327952287,0.908365348,0.220006295
Toyota,Toyota Yaris 1.5 Hybrid Dynamic Specs,100,9.7,,3.8,hybrid,4.580134602,2.121710434,6.172509161,1.686516033
Toyota,Toyota Yaris 1.5 VVT-i 3-doors Specs,111,9,,5.2,gasoline,4.325824153,2.560599552,3.632555338,1.508881858
Toyota,Toyota Yaris GRMN 1.8 Dual VVT-iE 212HP Specs,212,6.3,,7.5,gasoline,8.128273402,7.330330752,2.951093247,2.373063891
Toyota,Toyota Auris 1.33 Dual VVT-i Specs,99,12.6,,5.6,gasoline,2.266403113,1.285420442,1.964686151,0.837423448
Toyota,Toyota Auris 130 Active Specs,132,10,,5.9,gasoline,4.206039572,2.736914804,2.724554332,1.432457206
Toyota,Toyota Auris Hybrid Active Specs,136,10.9,,3.8,hybrid,5.491179684,2.732321126,6.761367423,1.942900953
Toyota,Toyota Auris 120D Active Specs,124,10,,4.5,gasoline,4.848959651,2.63905749,4.989017739,1.707257733
Toyota,Toyota Auris 90D Active Specs,90,12.5,,4.1,gasoline,2.819837319,1.176655965,4.394344292,1.120169197
Mercedes-Benz Group AG,Mercedes Benz Class A 250e 8G-DCT Specs,218,6.6,,1.5,hybrid,17.27765858,8.731578574,27.65611643,4.785904045
Mercedes-Benz Group AG,Mercedes Benz Class A 180 7G-DCT Specs,150,9.2,,5,gasoline,5.800968366,3.61692738,4.726371334,1.933549874
Mercedes-Benz Group AG,Mercedes Benz Class A 200 4MATIC 8G-DCT Specs,204,6.9,,6.6,gasoline,7.927806288,6.55717766,3.73334906,2.37081867
Mercedes-Benz Group AG,Mercedes Benz Class A 200 7G-DCT Specs,177,8,,5,gasoline,7.451118837,5.054557797,5.58818234,2.353678686
Mercedes-Benz Group AG,Mercedes Benz Class A 250 4MATIC 7G-DCT Specs,238,6.2,,6.6,gasoline,9.560807443,8.447622117,4.413995748,2.740954492
Mercedes-Benz Group AG,Mercedes Benz Class A 35 AMG 4MATIC 8G-DCT Specs,320,4.7,,7.3,gasoline,13.18559825,14.12054786,5.0163129,3.435378508
Mercedes-Benz Group AG,Mercedes Benz Class A 45 S AMG 4MATIC+ 8G-DCT Specs,421,3.9,,8.3,gasoline,16.34004856,20.8315681,5.048679392,3.944400879
Mercedes-Benz Group AG,Mercedes Benz Class A 180 d 8G-DCT Specs,116,10.6,,4.2,gasoline,4.509741547,2.264105601,5.317943781,1.632878542
Mercedes-Benz Group AG,Mercedes Benz Class A 200 d 8G-DCT Specs,150,8.1,,4.2,gasoline,7.182788855,4.275469481,6.902209382,2.348672123
Mercedes-Benz Group AG,Mercedes Benz Class A 220 d 8G-DCT Specs,190,7,,4.4,gasoline,9.283210167,6.333751162,7.614252662,2.825727153
Mercedes-Benz Group AG,Mercedes Benz Class B 250e 8G-DCT Specs,218,7.6,,0.9,hybrid,19.73594849,8.11380076,41.94030086,5.403850116
Mercedes-Benz Group AG,Mercedes Benz Class B 180 7G-DCT Specs,150,9,,5.5,gasoline,5.551859177,3.658943175,3.899310253,1.834525698
Mercedes-Benz Group AG,Mercedes Benz Class B 200 4MATIC 8G-DCT Specs,204,8.2,,6.6,gasoline,6.938274783,5.507635154,3.302539716,2.13139682
Mercedes-Benz Group AG,Mercedes Benz Class B 200 7G-DCT Specs,177,8.2,,5.5,gasoline,6.909351348,4.863079122,4.582031997,2.186996372
Mercedes-Benz Group AG,Mercedes Benz Class B 250 4MATIC 7G-DCT Specs,238,6.4,,6.6,gasoline,9.353030992,8.196136175,4.329328424,2.695433587
Mercedes-Benz Group AG,Mercedes Benz Class B 180 d 8G-DCT Specs,116,10.7,,4.2,gasoline,4.466951917,2.235337061,5.291151266,1.620440556
Mercedes-Benz Group AG,Mercedes Benz Class B 200 d 8G-DCT Specs,150,8.3,,4.1,gasoline,7.147231229,4.176171217,7.093570489,2.348261597
Mercedes-Benz Group AG,Mercedes Benz Class B 220 d 8G-DCT Specs,190,7.2,,4.4,gasoline,9.101827239,6.157394218,7.521119693,2.785090387
Ford Motor Company,Ford Bronco Sport 1.5L EcoBoost Specs,184,9.2,,9.3,gasoline,4.540824006,4.171448727,0.272904878,1.380942289
Ford Motor Company,Ford Capri Extended Range 77 kWh Specs,286,6.4,13.3,,electricity,38.6903742,14.002942,26.30509996,79.35494442
Ford Motor Company,Ford Capri Extended Range 79 kWh AWD Specs,340,5.3,15,,electricity,43.91738361,18.98078186,25.88820682,81.57647832
Ford Motor Company,Ford Fiesta 1.0 EcoBoost 125HP Hybrid Specs,125,8.9,,5,gasoline,5.065046143,3.032316026,4.324015083,1.732877376
Ford Motor Company,Ford Kuga 2.5 PHEV CVT Specs,243,9.2,,0.9,hybrid,18.87128183,7.494741852,41.10740962,5.264002395
Ford Motor Company,Ranger Double Cab 2.0 EcoBlue e-4WD Auto Specs,205,10.5,,8.8,gasoline,4.620527076,4.092896358,0.591007236,1.421522153
Audi,A3 allstreet 40 TFSIe S tronic,204,7.4,15,0.3,hybrid,29.55236711,8.901197929,100,7.30538377
Audi,A3 allstreet 35 TFSI S tronic,150,8.4,,5.4,gasoline,5.971082581,3.966404364,4.246589262,1.952552283
Audi,A3 allstreet 35 TDI S tronic,150,8.3,,5,gasoline,6.335083643,4.063063888,5.01113844,2.073798493
Audi,A3 limousine 30 TFSI,116,9.7,,5.2,gasoline,4.188134203,2.459686367,3.555105651,1.468453959
Audi,A3 limousine 35 TFSI,150,8.4,,5.2,gasoline,6.11768755,3.987376529,4.600196757,2.003871182
Audi,A3 limousine RS3,400,3.8,,9.1,gasoline,15.48043389,20.18321201,4.108609805,3.763036401
Audi,A4 35 TFSI S tronic,150,8.9,,6.3,gasoline,5.108154738,3.634682523,2.759144241,1.667888607
Audi,A4 40 TFSI S tronic,204,6.2,,6.2,gasoline,8.869324633,7.339804177,4.588130852,2.609968394
Audi,A4 40 TFSI quattro S tronic,204,6.7,,6.4,gasoline,8.242529821,6.776602362,4.086320513,2.455275259
Audi,A4 45 TFSI quattro S tronic,265,5.5,,7.1,gasoline,10.7369539,10.35947991,4.338425921,2.964163247
Audi,A4 30 TDI S tronic,136,9.5,,4.6,gasoline,5.462354358,3.142551339,5.176490461,1.870421147
Audi,A4 40 TDI S tronic,204,7.4,,5,gasoline,8.771221257,6.33088307,6.242492893,2.664402068
Audi,A5 Limousine 2.0 TFSI 150HP S tronic Specs,150,9.8,,6.6,gasoline,4.493900131,3.225494774,2.16709128,1.479423257
Audi,A5 Limousine 2.0 TFSI 204HP S tronic Specs,204,7.8,,6.6,gasoline,7.217972651,5.79695181,3.425829889,2.200338874
Audi,A5 Limousine S5 3.0 V6 TFSI MHEV S tronic Specs,367,4.5,,7.4,gasoline,14.60199916,16.53529295,5.392865926,3.688787398
Audi,A5 Limousine 2.0 TDI MHEV S tronic Specs,204,7.7,,4.7,gasoline,8.813075709,6.130896275,6.789829592,2.696055052
BMW,G26 i4 i4 eDrive35 Specs,286,6,15.6,,electricity,37.69660944,14.56898443,22.98896322,78.49506271
BMW,G26 i4 i4 eDrive40 Specs,340,5.7,15.9,,electricity,41.60418211,17.70544826,24.01196687,80.36331033
BMW,G60 i5 Sedan eDrive40 Specs,340,6,15.9,,electricity,40.61905833,16.93009067,23.67542363,79.89270714
BMW,1 Series 120 Steptronic DKG Specs,170,7.8,,5.3,gasoline,7.117782192,4.937156228,4.964694492,2.251624978
BMW,1 Series 123 xDrive Steptronic DKG Specs,218,6.3,,5.9,gasoline,9.431650632,7.752788717,5.208894706,2.752938207
BMW,1 Series 118d Steptronic DKG,150,8.3,,4.6,gasoline,6.670437388,4.110314049,5.851003591,2.188454422
BMW,220i Steptronic DKG Gran Coupe Specs,170,7.9,,5.2,gasoline,7.126462432,4.883374926,5.115723845,2.260379392
BMW,218d Steptronic DKG Gran Coupe Specs,150,8.4,,4.6,gasoline,6.605563336,4.05605499,5.815564501,2.171927412
BMW,320d Mild Hybrid Steptronic,190,6.9,,5,gasoline,8.764091554,6.323688423,6.239034689,2.662777582
BMW,320e Plug-in Hybrid Steptronic,204,7.6,16.2,1.5,hybrid,15.35200404,7.154695265,26.16787631,4.449069755
BMW,320i Steptronic,170,8.1,,7.7,gasoline,5.44356274,4.51149566,1.679823243,1.692732569
BMW,330i Steptronic,245,5.9,,7,gasoline,9.789294798,9.035630316,4.077583003,2.769336143
BMW,330e Plug-in Hybrid Steptronic,292,5.9,22.3,1,hybrid,25.20022587,13.25986464,43.77128985,6.169776867
BMW,420d Mild Hybrid xDrive Steptronic,190,7.6,,5.7,gasoline,7.588994289,5.640500577,4.641342256,2.341302879
